"year","Land_Type","total_area","taxable_val"
"2009","A",21.191081680547,5817745
"2009","B",4194.90090960203,6792932
"2009","D",158.560747716059,1101660
"2010","A",21.442843977119,7181157
"2010","B",4236.11373281376,6178572
"2010","D",116.55185505386,801444
"2011","A",21.442842512791,7933642
"2011","B",4272.0065693726,6319978
"2011","D",80.94355333044,618047
"2013","A",29.557884563773,13718684
"2013","B",4272.34908428668,26547679
"2013","D",68.24630838401,538453
